DupMarker   Dnumber    MarkerOnMap Dnumber

AFM318xc5   D12S1693   AFMa049xf5  D12S1705
ATA124A04   Unknown    ATA25F09    D12S2070
ATA19A06    Unknown    ATA29A06    D12S1045
ATA29A02    D12S1044   ATA44F09    Unknown 
ATA68A09    Unknown    ATA25F09    D12S2070
GATA194E02  Unknown    GATA194G07  Unknown 
GATA32F05   D12S2078   GATA21B11   Unknown 
GATA5E11    Unknown    GATA4H03    D12S372 
GATA67C07   Unknown    GATA137B11  Unknown 
GATA73H09   D12S1294   GATA67G01   D12S1291
GATA85A04   D12S1300   GATA15A03   D12S393 
UT1373      D12S300    GATA5H03    D12S378 
UT5669      D12S835    GATA4H03    D12S372 
UT6759      D12S833    GATA123B12  Unknown 
UT7506      D12S836    GATA47G01   D12S1059
UT7594      D12S1337   GATA87E09   Unknown 
UT7928      D12S839    GATA27G11   D12S1023
UT835       D12S806    UT638       D12S800 
