DupMarker   Dnumber    MarkerOnMap Dnumber

GATA41E09   Unknown    GATA64B04   D17S1303
Mfd188A     D17S579    AFMb364zg5  D17S1861
UT136       D17S595    UT158       D17S595 
UT157       D17S618    AFMa247xc5  D17S1807
UT188       D17S651    AFMa302yb5  D17S1814
UT20        D17S654    AFM058xf4   D17S831 
UT221       D17S674    UT952       Unknown 
UT403       D17S1148   UT5567      D17S1159
UT5155      D17S1153   UT214       D17S666 
UT72        D17S755    UT49        D17S731 
UT7429      D17S1163   GATA65G11   Unknown 
UT79        D17S759    UT49        D17S731 
