DupMarker   Dnumber    MarkerOnMap Dnumber

ATA23F12    D2S1348    ATA21D11    D2S1346 
ATA36B01    Unknown    ATA47C04    Unknown 
GATA134A11  Unknown    GATA135B08  Unknown 
GATA153E03  Unknown    GATA11H10   D2S1360 
GATA165C07  D2S2976    GATA158C03  Unknown 
GATA29A12   D2S1370    GATA43F06   Unknown 
GATA5B07    D2S435     GATA115D05  Unknown 
GATA63F01   D2S1388    GATA113F01  Unknown 
GATA71B02   D2S1395    GATA42D08   D2S1379 
GATA72A05   D2S1778    GATA72C01   D2S1779 
GATA88G05   D2S1790    GATA62B10   Unknown 
GATA8F03    D2S441     GATA72C01   D2S1779 
UT1265      D2S278     GATA176C01  D2S2972 
UT669       D2S266     AFM296vh9   D2S353  
UT671       D2S267     AFM304ta9   D2S368  
UT7430      D2S1271    GATA161E02  Unknown 
