DupMarker   Dnumber    MarkerOnMap Dnumber

AFMb304wg9  D3S3634    AFMa130vd5  D3S3556 
ATA34G06    D3S4523    ATA28H11    Unknown 
ATA4D09     D3S2384    ATA10H11    D3S2409 
ATA53E04    Unknown    ATA22D03    D3S2417 
ATA91D02    Unknown    ATA92F01    Unknown 
GATA133A05  Unknown    GATA11F06   D3S1753 
GATA14G12   D3S1754    GATA72A06   D3S3037 
GATA186H03  Unknown    GATA128C02  D3S4529 
GATA192B12  Unknown    GATA81H05   D3S3041 
GATA25D12   Unknown    GATA45C04   D3S2446 
GATA32A08   Unknown    GATA92B06   D3S3053 
GATA48H06   D3S2451    GATA128C02  D3S4529 
GATA52B04   D3S2453    GATA2H04    Unknown 
GATA81A05   D3S3040    GATA6F06    D3S1766 
GATA85F02   D3S3047    GATA27C08   D3S2432 
GATA8D02    D3S1769    GATA68F07   D3S2460 
Mfd203A     D3S1252    AFM283vb5   D3S1585 
Mfd332      D3S2299    AFMa073yf5  D3S3527 
Mfd339      D3S2300    AFM317xe1   D3S1605 
Mfd53       D3S1233    AFM135ye1   D3S3545 
UT2094      D3S2303    GATA140H01  Unknown 
UT5068      D3S2310    UT675       D3S1664 
UT7415      D3S3125    GATA141A03  Unknown 
UT7545      D3S2339    UT1286      D3S1538 
UT7786      D3S2328    GATA28E03   D3S2433 
