DupMarker   Dnumber    MarkerOnMap Dnumber

ATA29B02    D6S1262    ATA29B09    D6S1032 
GATA112F02  D6S1270    GATA42A06   Unknown 
GATA122G03  Unknown    GATA119B06  Unknown 
GATA124H01  Unknown    GATA161A04  Unknown 
GATA130C01  Unknown    GATA129G03  Unknown 
GATA149B03  Unknown    GATA22G09   D6S1007 
GATA156D11  Unknown    GATA129G03  Unknown 
GATA170E07  Unknown    GATA42A06   Unknown 
GATA185G10  Unknown    GATA43E06   D6S2260 
GATA88H11   Unknown    GATA165G02  D6S2436 
UT1417      D6S397     UT1448      D6S398  
UT2078      D6S939     GATA44      D6S475  
UT5033      D6S393     GATA165G02  D6S2436 
UT522       D6S945     UT894       D6S936  
UT5893      D6S962     GATA136F05  Unknown 
