                mar1  chr1               mar2 chr2 fem  mal    LOD
           AFM214yg7  1            AFMa086zb1  2  0.10 0.48   4.45
           AFM214yg7  1              GGAT4C08  2  0.19 0.50   3.04
           AFM280we5  1            AFMa191xd1  2  0.12 0.48   3.55
           AFM280we5  1            AFMa086zb1  2  0.10 0.36   4.59
           AFM280we5  1             AFM297we1  2  0.13 0.50   3.30
           AFM280we5  1             AFM310xf5  2  0.11 0.50   3.74
           AFM280we5  1             AFM348tf1  2  0.18 0.50   3.47
           AFM280we5  1            AFMc025xe1  2  0.18 0.50   3.25
           AFM280we5  1             AFM275za9  2  0.18 0.50   3.77
           AFM280we5  1            AFMa130xb5  2  0.19 0.45   3.32
           AFM280we5  1            AFMa244xd1  2  0.16 0.50   4.24
           AFM280we5  1            AFMa103wh1  2  0.18 0.50   3.77
           AFM280we5  1             AFM205yg7  2  0.13 0.42   3.16
           AFM280we5  1             AFM203wb6  2  0.18 0.50   3.25
           AFM280we5  1            AFMa341xa9  2  0.21 0.50   3.15
           AFM280we5  1             AFM234zh2  2  0.16 0.45   3.37
           AFM280we5  1             AFM320yd9  2  0.18 0.41   3.50
           AFM280we5  1              GATA8G06  2  0.00 0.50   4.21
           AFM280we5  1             GATA66D01  2  0.13 0.50   3.30
           AFM280we5  1            AFMa059wf5  2  0.18 0.50   3.56
           AFM280we5  1             AFM038xh8  2  0.18 0.50   3.77
           AFM280we5  1            AFMa341xh1  2  0.18 0.50   3.56
           AFM280we5  1            AFMa303wf5  2  0.21 0.50   3.15
           AFM280we5  1            AFMa246xe9  2  0.21 0.50   3.15
           AFM344we9  1            AFMa341xh1  2  0.18 0.50   3.35
           AFM123xc3  1            AFMa086zb1  2  0.08 0.00   4.20
          AFMa203yc1  1            AFMa191xd1  2  0.25 0.50   3.01
          AFMa203yc1  1            AFMa086zb1  2  0.16 0.45   3.38
          AFMa131ya5  1             AFM200ze3  2  0.12 0.45   3.37
          AFMa131ya5  1            AFMa086zb1  2  0.11 0.49   3.44
          AFMa131ya5  1            AFMa341xh1  2  0.14 0.50   3.14
           AFM147yf8  1             AFM320yb9  2  0.24 0.50   3.01
           AFM147yf8  1            AFMc025xe1  2  0.25 0.50   3.04
           AFM147yf8  1            GATA115D05  2  0.21 0.43   4.39
           AFM147yf8  1            AFMa061yb9  2  0.23 0.48   3.28
           AFM147yf8  1            AFMa126zb1  2  0.14 0.46   3.39
            GATA4H04  1            GATA115D05  2  0.23 0.43   3.25
          AFMa123ya9  1            AFMa086zb1  2  0.12 0.47   3.25
          AFMa123ya9  1            AFMc025xe1  2  0.16 0.50   3.32
           AFM220yf4  1             AFM348tf1  2  0.24 0.44   3.05
           AFM247te9  1             GATA26H10  2  0.30 0.23   3.27
           AFM247te9  1             AFM348tf1  2  0.28 0.43   3.09
