Date,Time,Usage_USgal,year,month,day,hour,day_of_week
2015-09-01,00:00,0,2015,9,1,0,Tuesday
2015-09-01,01:00,0,2015,9,1,1,Tuesday
2015-09-01,02:00,1,2015,9,1,2,Tuesday
2015-09-01,03:00,34,2015,9,1,3,Tuesday
2015-09-01,04:00,13,2015,9,1,4,Tuesday
2015-09-01,05:00,0,2015,9,1,5,Tuesday
2015-09-01,06:00,4,2015,9,1,6,Tuesday
2015-09-01,07:00,13,2015,9,1,7,Tuesday
2015-09-01,08:00,3,2015,9,1,8,Tuesday
2015-09-01,09:00,0,2015,9,1,9,Tuesday
2015-09-01,10:00,0,2015,9,1,10,Tuesday
2015-09-01,11:00,0,2015,9,1,11,Tuesday
2015-09-01,12:00,0,2015,9,1,12,Tuesday
2015-09-01,13:00,0,2015,9,1,13,Tuesday
2015-09-01,14:00,3,2015,9,1,14,Tuesday
2015-09-01,15:00,4,2015,9,1,15,Tuesday
2015-09-01,16:00,3,2015,9,1,16,Tuesday
2015-09-01,17:00,10,2015,9,1,17,Tuesday
2015-09-01,18:00,2,2015,9,1,18,Tuesday
2015-09-01,19:00,2,2015,9,1,19,Tuesday
2015-09-01,20:00,1,2015,9,1,20,Tuesday
2015-09-01,21:00,4,2015,9,1,21,Tuesday
2015-09-01,22:00,1,2015,9,1,22,Tuesday
2015-09-01,23:00,0,2015,9,1,23,Tuesday
2015-09-02,00:00,3,2015,9,2,0,Wednesday
2015-09-02,01:00,17,2015,9,2,1,Wednesday
2015-09-02,02:00,0,2015,9,2,2,Wednesday
2015-09-02,03:00,0,2015,9,2,3,Wednesday
2015-09-02,04:00,0,2015,9,2,4,Wednesday
2015-09-02,05:00,0,2015,9,2,5,Wednesday
2015-09-02,06:00,0,2015,9,2,6,Wednesday
2015-09-02,07:00,15,2015,9,2,7,Wednesday
2015-09-02,08:00,1,2015,9,2,8,Wednesday
2015-09-02,09:00,0,2015,9,2,9,Wednesday
2015-09-02,10:00,0,2015,9,2,10,Wednesday
2015-09-02,11:00,0,2015,9,2,11,Wednesday
2015-09-02,12:00,0,2015,9,2,12,Wednesday
2015-09-02,13:00,4,2015,9,2,13,Wednesday
2015-09-02,14:00,9,2015,9,2,14,Wednesday
2015-09-02,15:00,0,2015,9,2,15,Wednesday
2015-09-02,16:00,17,2015,9,2,16,Wednesday
2015-09-02,17:00,4,2015,9,2,17,Wednesday
