Date,Usage_USgal,year,month,day,day_of_week
2015-09-01,98,2015,9,1,Tuesday
2015-09-02,127,2015,9,2,Wednesday
2015-09-03,108,2015,9,3,Thursday
2015-09-04,312,2015,9,4,Friday
2015-09-05,284,2015,9,5,Saturday
2015-09-06,155,2015,9,6,Sunday
2015-09-07,264,2015,9,7,Monday
2015-09-08,232,2015,9,8,Tuesday
2015-09-09,109,2015,9,9,Wednesday
2015-09-10,140,2015,9,10,Thursday
2015-09-11,81,2015,9,11,Friday
2015-09-12,164,2015,9,12,Saturday
2015-09-13,113,2015,9,13,Sunday
2015-09-14,115,2015,9,14,Monday
2015-09-15,108,2015,9,15,Tuesday
2015-09-16,121,2015,9,16,Wednesday
2015-09-17,125,2015,9,17,Thursday
2015-09-18,134,2015,9,18,Friday
2015-09-19,205,2015,9,19,Saturday
2015-09-20,228,2015,9,20,Sunday
2015-09-21,92,2015,9,21,Monday
2015-09-22,92,2015,9,22,Tuesday
2015-09-23,63,2015,9,23,Wednesday
2015-09-24,108,2015,9,24,Thursday
2015-09-25,129,2015,9,25,Friday
2015-09-26,58,2015,9,26,Saturday
2015-09-27,4,2015,9,27,Sunday
2015-09-28,1,2015,9,28,Monday
2015-09-29,6,2015,9,29,Tuesday
2015-09-30,1,2015,9,30,Wednesday
2015-10-01,1,2015,10,1,Thursday
2015-10-02,13,2015,10,2,Friday
2015-10-03,116,2015,10,3,Saturday
2015-10-04,267,2015,10,4,Sunday
2015-10-05,144,2015,10,5,Monday
2015-10-06,107,2015,10,6,Tuesday
2015-10-07,109,2015,10,7,Wednesday
2015-10-08,114,2015,10,8,Thursday
2015-10-09,101,2015,10,9,Friday
2015-10-10,154,2015,10,10,Saturday
2015-10-11,181,2015,10,11,Sunday
2015-10-12,108,2015,10,12,Monday
2015-10-13,89,2015,10,13,Tuesday
2015-10-14,189,2015,10,14,Wednesday
2015-10-15,101,2015,10,15,Thursday
2015-10-16,101,2015,10,16,Friday
2015-10-17,142,2015,10,17,Saturday
2015-10-18,125,2015,10,18,Sunday
2015-10-19,122,2015,10,19,Monday
2015-10-20,92,2015,10,20,Tuesday
2015-10-21,135,2015,10,21,Wednesday
2015-10-22,102,2015,10,22,Thursday
2015-10-23,158,2015,10,23,Friday
2015-10-24,204,2015,10,24,Saturday
2015-10-25,138,2015,10,25,Sunday
2015-10-26,185,2015,10,26,Monday
2015-10-27,106,2015,10,27,Tuesday
2015-10-28,140,2015,10,28,Wednesday
2015-10-29,148,2015,10,29,Thursday
2015-10-30,114,2015,10,30,Friday
2015-10-31,139,2015,10,31,Saturday
2015-11-01,194,2015,11,1,Sunday
2015-11-02,152,2015,11,2,Monday
2015-11-03,99,2015,11,3,Tuesday
2015-11-04,102,2015,11,4,Wednesday
2015-11-05,92,2015,11,5,Thursday
2015-11-06,126,2015,11,6,Friday
2015-11-07,114,2015,11,7,Saturday
2015-11-08,155,2015,11,8,Sunday
2015-11-09,114,2015,11,9,Monday
2015-11-10,146,2015,11,10,Tuesday
2015-11-11,108,2015,11,11,Wednesday
2015-11-12,120,2015,11,12,Thursday
2015-11-13,193,2015,11,13,Friday
2015-11-14,103,2015,11,14,Saturday
2015-11-15,115,2015,11,15,Sunday
2015-11-16,153,2015,11,16,Monday
2015-11-17,174,2015,11,17,Tuesday
2015-11-18,104,2015,11,18,Wednesday
2015-11-19,123,2015,11,19,Thursday
2015-11-20,101,2015,11,20,Friday
2015-11-21,111,2015,11,21,Saturday
2015-11-22,134,2015,11,22,Sunday
2015-11-23,217,2015,11,23,Monday
2015-11-24,140,2015,11,24,Tuesday
2015-11-25,291,2015,11,25,Wednesday
2015-11-26,269,2015,11,26,Thursday
2015-11-27,328,2015,11,27,Friday
2015-11-28,250,2015,11,28,Saturday
2015-11-29,262,2015,11,29,Sunday
2015-11-30,259,2015,11,30,Monday
2015-12-01,162,2015,12,1,Tuesday
2015-12-02,138,2015,12,2,Wednesday
2015-12-03,127,2015,12,3,Thursday
2015-12-04,138,2015,12,4,Friday
2015-12-05,134,2015,12,5,Saturday
2015-12-06,91,2015,12,6,Sunday
2015-12-07,187,2015,12,7,Monday
2015-12-08,109,2015,12,8,Tuesday
2015-12-09,128,2015,12,9,Wednesday
2015-12-10,119,2015,12,10,Thursday
2015-12-11,112,2015,12,11,Friday
2015-12-12,290,2015,12,12,Saturday
2015-12-13,271,2015,12,13,Sunday
2015-12-14,226,2015,12,14,Monday
2015-12-15,195,2015,12,15,Tuesday
2015-12-16,106,2015,12,16,Wednesday
2015-12-17,93,2015,12,17,Thursday
2015-12-18,142,2015,12,18,Friday
2015-12-19,146,2015,12,19,Saturday
2015-12-20,102,2015,12,20,Sunday
2015-12-21,134,2015,12,21,Monday
2015-12-22,72,2015,12,22,Tuesday
2015-12-23,51,2015,12,23,Wednesday
2015-12-24,168,2015,12,24,Thursday
2015-12-25,117,2015,12,25,Friday
2015-12-26,220,2015,12,26,Saturday
2015-12-27,126,2015,12,27,Sunday
2015-12-28,99,2015,12,28,Monday
2015-12-29,123,2015,12,29,Tuesday
2015-12-30,121,2015,12,30,Wednesday
2015-12-31,116,2015,12,31,Thursday
2016-01-01,161,2016,1,1,Friday
2016-01-02,196,2016,1,2,Saturday
2016-01-03,168,2016,1,3,Sunday
2016-01-04,124,2016,1,4,Monday
2016-01-05,176,2016,1,5,Tuesday
2016-01-06,100,2016,1,6,Wednesday
2016-01-07,176,2016,1,7,Thursday
2016-01-08,160,2016,1,8,Friday
2016-01-09,132,2016,1,9,Saturday
2016-01-10,144,2016,1,10,Sunday
2016-01-11,128,2016,1,11,Monday
2016-01-12,111,2016,1,12,Tuesday
2016-01-13,164,2016,1,13,Wednesday
2016-01-14,136,2016,1,14,Thursday
2016-01-15,185,2016,1,15,Friday
2016-01-16,127,2016,1,16,Saturday
2016-01-17,133,2016,1,17,Sunday
2016-01-18,162,2016,1,18,Monday
2016-01-19,245,2016,1,19,Tuesday
2016-01-20,115,2016,1,20,Wednesday
2016-01-21,205,2016,1,21,Thursday
2016-01-22,115,2016,1,22,Friday
2016-01-23,131,2016,1,23,Saturday
2016-01-24,226,2016,1,24,Sunday
2016-01-25,141,2016,1,25,Monday
2016-01-26,115,2016,1,26,Tuesday
2016-01-27,141,2016,1,27,Wednesday
2016-01-28,151,2016,1,28,Thursday
2016-01-29,214,2016,1,29,Friday
2016-01-30,123,2016,1,30,Saturday
2016-01-31,140,2016,1,31,Sunday
2016-02-01,146,2016,2,1,Monday
2016-02-02,124,2016,2,2,Tuesday
2016-02-03,106,2016,2,3,Wednesday
2016-02-04,212,2016,2,4,Thursday
2016-02-05,181,2016,2,5,Friday
2016-02-06,187,2016,2,6,Saturday
2016-02-07,176.6261,2016,2,7,Sunday
2016-02-08,134.3739,2016,2,8,Monday
2016-02-09,77,2016,2,9,Tuesday
2016-02-10,112,2016,2,10,Wednesday
2016-02-11,134,2016,2,11,Thursday
2016-02-12,126,2016,2,12,Friday
2016-02-13,161,2016,2,13,Saturday
2016-02-14,175,2016,2,14,Sunday
2016-02-15,222,2016,2,15,Monday
2016-02-16,117,2016,2,16,Tuesday
2016-02-17,108,2016,2,17,Wednesday
2016-02-18,156,2016,2,18,Thursday
2016-02-19,113,2016,2,19,Friday
2016-02-20,125,2016,2,20,Saturday
2016-02-21,177,2016,2,21,Sunday
2016-02-22,161,2016,2,22,Monday
2016-02-23,142,2016,2,23,Tuesday
2016-02-24,112,2016,2,24,Wednesday
2016-02-25,142,2016,2,25,Thursday
2016-02-26,120,2016,2,26,Friday
2016-02-27,212,2016,2,27,Saturday
2016-02-28,184,2016,2,28,Sunday
2016-02-29,150,2016,2,29,Monday
2016-03-01,104,2016,3,1,Tuesday
2016-03-02,95,2016,3,2,Wednesday
2016-03-03,235,2016,3,3,Thursday
2016-03-04,110,2016,3,4,Friday
2016-03-05,153,2016,3,5,Saturday
2016-03-06,207,2016,3,6,Sunday
2016-03-07,88,2016,3,7,Monday
2016-03-08,163,2016,3,8,Tuesday
